AppNo,PDF,Fyr,State,FormV,Nickname,Status,ServiceCat,OrgName,Address1,Address2,City,ZipCode,ZCExt,Phone,PhoneExt,Email,Number,FCCRegNo,AppType,CFName,CMInitial,CLName,CEmail,CPhone,CPhoneExt,CDateTime,Enrollment,NSLPCount,NSLPPer,URStatus,COneRate,CTwoRate,VoiceRate,FundReqAmt,LastUpdate,Latitude,Longitude,CongDist,CatColor
181040993,http://publicdata.usac.org/SL/Prd/Form471/400545/181040993/Original/USAC_FCC_FORM_471_APPLICATION_181040993_CERTIFIED.pdf,2018,SD,Original,18.Holly Trinity.C2,Certified,Category2,Diocese Of Sioux Falls,523 North Duluth Ave.,,Sioux Falls,57104,,605-988-3761,,,233286,11824737,School District,Bonnie,,Overweg,bonnie@dakotaacademic.com,605-977-4648,,3/22/2018 20:44,"1,810",210,0.12,Rural,0.5,0.5,0,$20.00 ,3/22/2018 20:45,43.5529033,-96.7349279,Congressional District (at Large),1
181019615,http://publicdata.usac.org/SL/Prd/Form471/335677/181019615/Original/USAC_FCC_FORM_471_APPLICATION_181019615_CERTIFIED.pdf,2018,MS,Original,HSPCLD2018,Certified,Category1,Marshall County Library System,109 E Gholson Ave,,Holly Springs,38635,3014,662-252-3823,,,128540,11861051,Library System,Amanda,,Mcdonald,amcdonald@marshall.lib.ms.us,662-252-3823,,3/8/2018 11:22,"1,332","1,264",0.95,Rural,0.9,0.85,0.1,$21.60 ,3/8/2018 11:22,34.76654,-89.4481588,Congressional District 1,1
181017553,http://publicdata.usac.org/SL/Prd/Form471/17010288/181017553/Original/USAC_FCC_FORM_471_APPLICATION_181017553_CERTIFIED.pdf,2018,WA,Original,ECHO GLEN VERIZON (2) FORM 471 FY18,Certified,Category1,Juvenile Rehabilitation Administration,1115 Washington St Se,,Olympia,98504,5720,360-902-8104,,smithjb@dshs.wa.gov,17010288,16823296,School District,Jan,,Smith,smithjb@dshs.wa.gov,360-902-8104,,3/5/2018 17:50,111,111,1,Urban,0.9,0.85,0.1,$21.91 ,3/5/2018 17:50,47.0363839,-122.8974986,Congressional District 10,1
181013096,http://publicdata.usac.org/SL/Prd/Form471/17010288/181013096/Original/USAC_FCC_FORM_471_APPLICATION_181013096_CERTIFIED.pdf,2018,WA,Original,ECHO GLEN AT&T FORM 471 FY18,Certified,Category1,Juvenile Rehabilitation Administration,1115 Washington St Se,,Olympia,98504,5720,360-902-8104,,smithjb@dshs.wa.gov,17010288,16823296,School District,Jan,,Smith,smithjb@dshs.wa.gov,360-902-8104,,2/23/2018 17:47,111,111,1,Urban,0.9,0.85,0.1,$21.96 ,2/23/2018 17:47,47.0363839,-122.8974986,Congressional District 10,1
181013564,http://publicdata.usac.org/SL/Prd/Form471/17010288/181013564/Original/USAC_FCC_FORM_471_APPLICATION_181013564_CERTIFIED.pdf,2018,WA,Original,WOODINVILLE VERIZON FORM 471 FY18,Certified,Category1,Juvenile Rehabilitation Administration,1115 Washington St Se,,Olympia,98504,5720,360-902-8104,,smithjb@dshs.wa.gov,17010288,16823296,School District,Jan,,Smith,smithjb@dshs.wa.gov,360-902-8104,,2/26/2018 11:45,111,111,1,Urban,0.9,0.85,0.1,$22.00 ,2/26/2018 11:46,47.0363839,-122.8974986,Congressional District 10,1
181032165,http://publicdata.usac.org/SL/Prd/Form471/335920/181032165/Original/USAC_FCC_FORM_471_APPLICATION_181032165_CERTIFIED.pdf,2018,KY,Original,Sharpsburg internet,Certified,Category1,Bath County Memorial Library District,24 W Main St,,Owingsville,40360,,606-674-2531,,bcml@bathlibrary.org,128791,11859220,Library System,Michael,,Richter,mrichter@bathlibrary.org,606-674-2531,,3/20/2018 13:49,"2,059","1,911",0.93,Rural,0.9,0.85,0.1,$23.99 ,3/20/2018 13:50,38.1448495,-83.7645209,Congressional District 6,1
181034040,http://publicdata.usac.org/SL/Prd/Form471/352926/181034040/Original/USAC_FCC_FORM_471_APPLICATION_181034040_CERTIFIED.pdf,2018,PA,Original,WBASD FY2018-19 C1 CELL - 471,Certified,Category1,Wilkes-Barre Area School District,730 South Main Street,,Wilkes Barre,18711,,570-820-3771,,,151009,3258928,School District,Kathleen,,Dieffenderfer,kdieffenderfer@csiu.org,570-523-1155,2127,3/21/2018 8:44,"7,163","6,486",0.91,Urban,0.9,0.85,0.1,$26.51 ,3/21/2018 8:44,41.2333581,-75.9036855,Congressional District 17,1
181015863,http://publicdata.usac.org/SL/Prd/Form471/17000697/181015863/Original/USAC_FCC_FORM_471_APPLICATION_181015863_CERTIFIED.pdf,2018,OK,Original,DOBSON LONG DISTANCE 2018-2019,Certified,Category1,Community Action Development Corp. Head Start,400a N Randlett,,Hobart,73651,,580-726-3343,,cadcerate_1@yahoo.com,17000697,20383485,School District,Christy,,Glisson,cadcerate_1@yahoo.com,580-726-3343,,3/6/2018 13:10,367,367,1,Rural,0.9,0.85,0.1,$26.62 ,3/6/2018 13:10,35.0325863,-99.0992138,Congressional District 3,1
181039136,http://publicdata.usac.org/SL/Prd/Form471/350043/181039136/Original/USAC_FCC_FORM_471_APPLICATION_181039136_CERTIFIED.pdf,2018,NM,Original,CellPhones2018,Certified,Category1,Cuba School District,50 County Road 13,,Cuba,87013,,505-289-3211,,,143235,14244503,School District,Tim,,Chavez,timc@cuba.k12.nm.us,505-289-3211,,3/23/2018 10:47,524,524,1,Rural,0.9,0.85,0.1,$28.68 ,5/2/2018 15:17,36.0281743,-106.9459502,Congressional District 3,1
181024160,http://publicdata.usac.org/SL/Prd/Form471/17015389/181024160/Original/USAC_FCC_FORM_471_APPLICATION_181024160_CERTIFIED.pdf,2018,PR,Original,San Germán Christian Academy-Phone 2018,Certified,Category1,San Germán Christian Academy,17 Calle Ruiz Belvis,,San German,683,4010,787-329-7606,,sgchristianacademy.chcministry@gmail.com,17015389,26679639,School,Frank,,Sepulveda,sgchristianacademy.chcministry@gmail.com,787-329-7606,,3/14/2018 10:59,38,38,1,Urban,0.9,0.85,0.1,$30.00 ,3/14/2018 11:00,,,,1
181027729,http://publicdata.usac.org/SL/Prd/Form471/350738/181027729/Original/USAC_FCC_FORM_471_APPLICATION_181027729_CERTIFIED.pdf,2018,CA,Original,BSD Y21-C1 Long,Certified,Category1,Beardsley Elementary Sch Dist,1001 Roberts Ln,,Bakersfield,93308,4503,661-393-8550,,pamiller@beardsley.k12.ca.us,143943,13005012,School District,Bonnie,,Armendariz,bonnie@pcas4e.com,661-586-1090,,3/18/2018 12:52,"1,783","1,529",0.86,Urban,0.9,0.85,0.1,$31.88 ,3/18/2018 12:53,35.4079911,-119.0420208,Congressional District 23,1
181008440,http://publicdata.usac.org/SL/Prd/Form471/378873/181008440/Original/USAC_FCC_FORM_471_APPLICATION_181008440_CERTIFIED.pdf,2018,PA,Original,URBAN PATHWAYS-2018-C1-VERIZON,Certified,Category1,Urban Pathways Charter School,914 Penn Avenue,,Pittsburgh,15222,,412-392-4601,,,16038513,17085556,School,Dave,,Miller,davemiller@advanedgesolutions.com,412-668-0785,,2/10/2018 10:39,341,341,1,Urban,0.9,0.85,0.1,$34.46 ,2/10/2018 10:40,40.443721,-79.9974735,Congressional District 14,1
181033663,http://publicdata.usac.org/SL/Prd/Form471/343254/181033663/Original/USAC_FCC_FORM_471_APPLICATION_181033663_CERTIFIED.pdf,2018,IL,Original,main2018,Certified,Category1,Georgetown Public Library,102 W West St,,Georgetown,61846,1856,217-662-2164,,lindavidson@nwcable.net,136283,11792017,Library,Linda,,Davidson,lindavidson@nwcable.net,217-662-2164,,3/20/2018 21:11,957,906,0.95,Urban,0.9,0.85,0.1,$35.86 ,3/20/2018 21:12,39.9753988,-87.6357033,Congressional District 15,1
181001754,http://publicdata.usac.org/SL/Prd/Form471/400951/181001754/Original/USAC_FCC_FORM_471_APPLICATION_181001754_CERTIFIED.pdf,2018,PR,Original,Worldnet VOIP Mayaguez 2018-2019,Certified,Category1,Biblioteca Revndo Eleuterio Feliciano Crespo,"Carr. 100 Km. 0.3, Ave. Las Cumbres",,San Juan,928,,787-720-3446,,,16081054,24142747,Library System,Isamel,,Soto,decanatofinanzas@mizpa.edu,787-720-4476,,1/17/2018 14:27,"285,577","285,215",1,Urban,0.9,0.85,0.1,$35.94 ,1/17/2018 14:28,,,,1
181033552,http://publicdata.usac.org/SL/Prd/Form471/343254/181033552/Original/USAC_FCC_FORM_471_APPLICATION_181033552_CERTIFIED.pdf,2018,IL,Original,2018fa,Certified,Category1,Georgetown Public Library,102 W West St,,Georgetown,61846,1856,217-662-2164,,lindavidson@nwcable.net,136283,11792017,Library,Linda,,Davidson,lindavidson@nwcable.net,217-662-2164,,3/20/2018 20:53,957,906,0.95,Urban,0.9,0.85,0.1,$35.96 ,3/20/2018 20:54,39.9753988,-87.6357033,Congressional District 15,1
181038442,http://publicdata.usac.org/SL/Prd/Form471/353550/181038442/Original/USAC_FCC_FORM_471_APPLICATION_181038442_CERTIFIED.pdf,2018,PR,Original,471_2018_Voice,Certified,Category1,Colegio Nuestra Senora Del Carmen,"Calle 14, Urb Alturas De Rio Grande",Po Box 1389,Rio Grande,745,,787-887-4099,,cnscrg@yahoo.com,159108,14095574,School,Migdalina,,Arroyo Mendez,cnscrgerate@gmail.com,787-887-4099,,3/22/2018 15:27,158,157,0.99,Urban,0.9,0.85,0.1,$40.14 ,3/22/2018 15:29,,,,1
181030631,http://publicdata.usac.org/SL/Prd/Form471/350399/181030631/Original/USAC_FCC_FORM_471_APPLICATION_181030631_CERTIFIED.pdf,2018,CA,Original,2018-2019 Colony Fax/POTS (471),Certified,Category1,Ontario City Library System,215 East C Street,,Ontario,91764,,909-395-2230,,asaeger@ontarioca.gov,143601,12306379,Library System,Alan,,Saeger,asaeger@ontarioca.gov,909-395-2230,,3/22/2018 14:41,"22,503","19,571",0.87,Urban,0.9,0.85,0.1,$41.44 ,3/22/2018 14:42,34.0661168,-117.6491148,Congressional District 35,1
181039344,http://publicdata.usac.org/SL/Prd/Form471/401668/181039344/Original/USAC_FCC_FORM_471_APPLICATION_181039344_CERTIFIED.pdf,2018,MI,Original,FY2018 Form 471 - TDS,Certified,Category1,Foundation For Behavioral Resources,600 South Lincoln Street,,Augusta,49012,,269-731-5775,,agumper@fbrcs.org,16083914,14247308,Consortium,Allison,,Gumper,agumper@fbrcs.org,269-731-5775,132,3/22/2018 14:23,8,6,0.75,Urban,0.9,0.85,0.1,$41.58 ,3/22/2018 14:25,42.3328058,-85.3566931,Congressional District 6,1
181001695,http://publicdata.usac.org/SL/Prd/Form471/290795/181001695/Original/USAC_FCC_FORM_471_APPLICATION_181001695_CERTIFIED.pdf,2018,LA,Original,Lake Forest Cell 2018/19,Certified,Category1,Lake Forest Charter,12000 Hayne Blvd,,New Orleans,70128,1127,504-228-6746,,Hank@eratesupport.org,80196,25094459,School,Hank,,Lawrence,hank@eratesupport.org,225-224-2786,300,1/18/2018 13:39,622,622,1,Urban,0.9,0.85,0.1,$42.00 ,1/18/2018 13:40,30.0578482,-89.967584,Congressional District 2,1
181008164,http://publicdata.usac.org/SL/Prd/Form471/17000517/181008164/Original/USAC_FCC_FORM_471_APPLICATION_181008164_CERTIFIED.pdf,2018,OK,Original,CAT 1 LD,Certified,Category1,Delta Head Start School District Oklahoma,308 Sw 2nd St,,Lindsay,73052,5404,405-756-1100,,shorton3@windstream.net,17000517,16399586,School District,Shannon,,England,senglandhs@gmail.com,405-756-1100,,2/9/2018 11:39,269,269,1,Rural,0.9,0.85,0.1,$42.00 ,2/9/2018 11:40,34.8338077,-97.6046275,Congressional District 4,1
181025568,http://publicdata.usac.org/SL/Prd/Form471/353156/181025568/Original/USAC_FCC_FORM_471_APPLICATION_181025568_CERTIFIED.pdf,2018,FL,Original,VerizonWireless471MulberryYear21,Certified,Category1,Mulberry Public Library,905 Ne 5th St,,Mulberry,33860,2518,863-519-7958,,gladys.roberts@mypclc.info,154052,26208090,Library,Gladys,,Roberts,mulliberate@gmail.com,863-519-7958,,3/21/2018 16:51,"93,451","82,892",0.89,Urban,0.9,0.85,0.1,$43.19 ,3/21/2018 16:52,27.8985134,-81.9664625,Congressional District 17,1
181026669,http://publicdata.usac.org/SL/Prd/Form471/17001621/181026669/Original/USAC_FCC_FORM_471_APPLICATION_181026669_CERTIFIED.pdf,2018,FL,Original,Latt Maxcy Library BEN 127817,Certified,Category1,Department Of Management Services,"4050 Esplanade Way, Ste 335 Bldg.",,Tallahasse,33299,950,850-413-0619,,erateassist.district@dms.myflorida.com,17001621,22278436,Consortium,Lyell,,Walker,erateassist.district@dms.myflorida.com,850-413-0619,,3/22/2018 13:01,"93,451","82,892",0.89,Rural,0.9,0.85,0.1,$43.68 ,3/22/2018 13:02,30.3898837,-84.2327538,Congressional District 2,1
181015841,http://publicdata.usac.org/SL/Prd/Form471/17000697/181015841/Original/USAC_FCC_FORM_471_APPLICATION_181015841_CERTIFIED.pdf,2018,OK,Original,DOBSON POTS 2018-2019,Certified,Category1,Community Action Development Corp. Head Start,400a N Randlett,,Hobart,73651,,580-726-3343,,cadcerate_1@yahoo.com,17000697,20383485,School District,Christy,,Glisson,cadcerate_1@yahoo.com,580-726-3343,,3/6/2018 13:07,367,367,1,Rural,0.9,0.85,0.1,$43.88 ,3/6/2018 13:08,35.0325863,-99.0992138,Congressional District 3,1
181008451,http://publicdata.usac.org/SL/Prd/Form471/389297/181008451/Original/USAC_FCC_FORM_471_APPLICATION_181008451_CERTIFIED.pdf,2018,PA,Original,URBAN PATHWAYS K-5-2018-C1-VERIZON,Certified,Category1,Urban Pathways K-5 Charter School,925 Penn Ave,,Pittsburgh,15222,,412-392-4601,,,16057973,17085556,School,Dave,,Miller,davemiller@advanedgesolutions.com,412-668-0785,,2/10/2018 11:16,304,304,1,Urban,0.9,0.85,0.1,$44.10 ,2/10/2018 11:17,40.4440425,-79.9972143,Congressional District 14,1
181027537,http://publicdata.usac.org/SL/Prd/Form471/344429/181027537/Original/USAC_FCC_FORM_471_APPLICATION_181027537_CERTIFIED.pdf,2018,MO,Original,137473 471 2018,Certified,Category1,Greenfield School District R 4,410 W College St,,Greenfield,65661,1346,417-637-5321,,,137473,5647367,School District,Dorothy,,Farrington,dfarrington@greenfield.k12.mo.us,417-637-5666,,3/16/2018 19:04,477,358,0.75,Rural,0.9,0.85,0.1,$48.00 ,3/16/2018 19:04,37.4161542,-93.8429805,Congressional District 4,1
181018492,http://publicdata.usac.org/SL/Prd/Form471/366438/181018492/Original/USAC_FCC_FORM_471_APPLICATION_181018492_CERTIFIED.pdf,2018,PR,Original,471- Cortelco - 2018 - CCM,Certified,Category1,Colegio Congregacion Mita,167 Calle Paris,,San Juan,917,,787-759-8365,2008,e_figueroa@colegiomita.org,225253,14547855,School,Evelyn,,Figueroa,e_figueroa@colegiomita.org,787-759-8365,2008,3/7/2018 10:06,476,476,1,Urban,0.9,0.85,0.1,$48.85 ,3/7/2018 10:07,,,,1
181034376,http://publicdata.usac.org/SL/Prd/Form471/342595/181034376/Original/USAC_FCC_FORM_471_APPLICATION_181034376_CERTIFIED.pdf,2018,IL,Original,e-911 2018-2019,Certified,Category1,Community High School Dist 218,10701 Kilpatrick Ave,,Oak Lawn,60453,6203,708-424-2000,2870,judi.keigher@chsd218.org,135611,12575627,School District,Judith,R,Keigher,judi.keigher@chsd218.org,708-424-2000,2870,3/21/2018 10:15,"5,423","5,423",1,Urban,0.9,0.85,0.1,$51.60 ,3/21/2018 10:16,41.6973888,-87.7363139,Congressional District 3,1
181032311,http://publicdata.usac.org/SL/Prd/Form471/332534/181032311/Original/USAC_FCC_FORM_471_APPLICATION_181032311_CERTIFIED.pdf,2018,PA,Original,FY 2018 Cell,Certified,Category1,Brownsville Area School Dist,5 Falcon Dr,,Brownsville,15417,,724-785-2021,,,125325,12308490,School District,Brian,,Boyd,bboyd@basd.org,724-785-2021,,3/20/2018 14:14,"1,576","1,511",0.96,Rural,0.9,0.85,0.1,$51.91 ,3/20/2018 14:15,40.0070195,-79.8936409,Congressional District 9,1
181025534,http://publicdata.usac.org/SL/Prd/Form471/353156/181025534/Original/USAC_FCC_FORM_471_APPLICATION_181025534_CERTIFIED.pdf,2018,FL,Original,SpectrumPhone471MulberryYear21,Certified,Category1,Mulberry Public Library,905 Ne 5th St,,Mulberry,33860,2518,863-519-7958,,gladys.roberts@mypclc.info,154052,26208090,Library,Gladys,,Roberts,mulliberate@gmail.com,863-519-7958,,3/21/2018 16:47,"93,451","82,892",0.89,Urban,0.9,0.85,0.1,$52.80 ,3/21/2018 16:48,27.8985134,-81.9664625,Congressional District 17,1
181014704,http://publicdata.usac.org/SL/Prd/Form471/350017/181014704/Original/USAC_FCC_FORM_471_APPLICATION_181014704_CERTIFIED.pdf,2018,AZ,Original,18_CROWN KING_C1,Certified,Category1,Crown King School District 41,23550 S. Towers Mountain Road,,Crown King,86343,,928-632-5207,,crownkingschool@yahoo.com,143207,20713509,School District,Frank,,Vander Horst,frank.vander.horst@yavapai.us,928-649-6298,,2/27/2018 23:43,2,2,1,Rural,0.9,0.85,0.1,$53.14 ,2/27/2018 23:44,34.2213504,-112.3528973,Congressional District 4,1
181038412,http://publicdata.usac.org/SL/Prd/Form471/331898/181038412/Original/USAC_FCC_FORM_471_APPLICATION_181038412_CERTIFIED.pdf,2018,NY,Original,FY2018Edwards-Knox,Certified,Category1,Edwards-Knox Central Sch Dist,2512 County Rte 24,,Hermon,13652,,315-562-8200,,,124678,12171252,School District,Jessica,A,Nilsen,jessica.nilsen@eratepartners.com,315-254-2022,,3/22/2018 17:39,585,500,0.85,Rural,0.9,0.85,0.1,$54.14 ,3/22/2018 17:41,44.3638879,-75.203354,Congressional District 21,1
181003091,http://publicdata.usac.org/SL/Prd/Form471/17015887/181003091/Original/USAC_FCC_FORM_471_APPLICATION_181003091_CERTIFIED.pdf,2018,PR,Original,Phone Services 2018,Certified,Category1,Disciples Generation Christian Academy,Almacigo Bajo Sector Familindia,,Yauco,698,,787-856-5976,,1990eldiscipulo@gmail.com,17015887,26994319,School,Nancy,,Camacho,1990eldiscipulo@gmail.com,787-856-5976,,1/23/2018 11:08,90,90,1,Rural,0.9,0.85,0.1,$55.08 ,1/23/2018 11:08,,,,1
181004218,http://publicdata.usac.org/SL/Prd/Form471/225623/181004218/Original/USAC_FCC_FORM_471_APPLICATION_181004218_CERTIFIED.pdf,2018,NY,Original,2017-2018,Certified,Category1,Lifeline Ctr-Child Devel,8009 Winchester Blvd,,Jamaica,11427,2147,718-740-4300,,,12557,13547807,School,Charles,S,Caputo,chucklifeline@gmail.com,718-740-4330,226,3/15/2018 10:17,113,113,1,Urban,0.9,0.85,0.1,$57.50 ,3/15/2018 10:17,40.7386095,-73.7329029,Congressional District 3,1
181015750,http://publicdata.usac.org/SL/Prd/Form471/333842/181015750/Original/USAC_FCC_FORM_471_APPLICATION_181015750_CERTIFIED.pdf,2018,WV,Original,War 18-471,Certified,Category1,War Public Library,Po Box 68,,War,24892,62,304-875-4622,,mcguiree@wvlc.lib.wv.us,126656,22383780,Library,Eva,,Mcguire,mcguiree@wvlc.lib.wv.us,304-325-3943,,3/13/2018 15:54,"3,056","3,056",1,Rural,0.9,0.85,0.1,$60.00 ,3/13/2018 15:55,37.3012246,-81.6909425,Congressional District 3,1
181023170,http://publicdata.usac.org/SL/Prd/Form471/348502/181023170/Original/USAC_FCC_FORM_471_APPLICATION_181023170_CERTIFIED.pdf,2018,TX,Original,LFSLD21 FAX,Certified,Category1,Ethel Whipple Mem Library,402 W Ocean Blvd,,Los Fresnos,78566,3650,956-233-5330,,angie@los-fresnos.lib.tx.us,141657,11895695,Library,Angie,,Lugo,angie@los-fresnos.lib.tx.us,956-233-5330,,3/19/2018 17:13,"10,175","8,443",0.83,Urban,0.9,0.85,0.1,$60.00 ,3/19/2018 17:14,26.0723429,-97.4813695,Congressional District 34,1
181034513,http://publicdata.usac.org/SL/Prd/Form471/353327/181034513/Original/USAC_FCC_FORM_471_APPLICATION_181034513_CERTIFIED.pdf,2018,FL,Original,VerizonWireless471CoopYear21,Certified,Category1,Polk County Library Cooperative,2150 S. Broadway Ave.,,Bartow,33830,,863-519-7958,,gladys.roberts@mypclc.info,156559,26207449,Library System,Gladys,F,Roberts,gladys.roberts@mypclc.info,863-519-7958,,3/21/2018 12:43,"93,451","82,892",0.89,Urban,0.9,0.85,0.1,$62.52 ,3/21/2018 12:44,27.8734376,-81.842798,Congressional District 17,1
181027725,http://publicdata.usac.org/SL/Prd/Form471/351083/181027725/Original/USAC_FCC_FORM_471_APPLICATION_181027725_CERTIFIED.pdf,2018,CA,Original,Willow Grove C1,Certified,Category1,Willow Grove Un Elem Sch Dist,11655 Airline Highway,,Paicines,95043,,831-628-3256,,erate@adtechgroup.com,144299,14225148,School District,Johnna,,Hensen,erate@adtechgroup.com,530-330-0567,,3/21/2018 19:29,19,15,0.79,Rural,0.9,0.85,0.1,$64.45 ,3/21/2018 19:30,36.7369966,-121.2814518,Congressional District 20,1
181026721,http://publicdata.usac.org/SL/Prd/Form471/344786/181026721/Original/USAC_FCC_FORM_471_APPLICATION_181026721_CERTIFIED.pdf,2018,KS,Original,COLDWATER-WILMORE REG LIBRARY FY2018 C2,Certified,Category2,Coldwater-Wilmore Reg Library,221 E Main St,,Coldwater,67029,,316-582-2333,,,137839,11910296,Library System,Toby,,Sykes,tobysykes@eratesolutions.com,785-840-0100,,3/16/2018 11:01,325,145,0.45,Rural,0.7,0.7,0,$64.58 ,3/16/2018 11:02,37.2697267,-99.3258149,Congressional District 4,1
